national_rank,state_rank,tier,opportunity_type,financial_score,confidence_score,population_score,competition_score_rank,growth_score,composite_score,est_annual_revenue,est_annual_profit,total_investment,roi,payback_years,npv_10yr,worst_profit,worst_roi,best_profit,best_roi,latitude,longitude,address,poi_name,poi_type,region,qualifying_rules,confidence,nearest_pharmacy_km,nearest_pharmacy_name,catchment_pop,effective_pop,pharmacy_count_5km,market_share,est_annual_scripts,gp_fte,growth_indicator,growth_details
21,5,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3300000.0,576000.0,657500,0.876,1.14,3158679.15,-25650.0,-0.039,1214700.0,1.8475,-27.55705,153.077,"12, Hagen Street, Upper Mount Gravatt, City of Brisbane, Queensland, 4122, Australia",Upper Mount Gravatt Medical Centre,medical_centre,QLD,"Item 132, Item 136",95%,0.33,TerryWhite Chemmart Upper Mount Gravatt,1466779,50000,36,0.2,130000,7.2,,
22,6,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,2290398.0,273119.4,657500,0.4154,2.41,1152000.97,-163460.67,-0.2486,729081.44,1.1089,-23.8499,151.2665,"Young Street, Gladstone Ports - Port Central, Barney Point, Gladstone, Gladstone Regional, Queensland, 4680, Australia",Gladstone Medical Centre,medical_centre,QLD,Item 136,95%,0.46,Gladstone Family Chemist,34703,34703,7,0.2,90227,6.4,,
23,7,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,666000.0,657500,1.0129,0.99,3754957.14,15300.0,0.0233,1359000.0,2.0669,-27.5603,151.9562,"Bell Street, East Toowoomba, Toowoomba City, Toowoomba, Toowoomba Regional, Queensland, 4350, Australia",SmartClinics Toowoomba,medical_centre,QLD,Item 136,95%,0.38,Good Price Pharmacy Warehouse Toowoomba,108398,50000,32,0.2,130000,11.2,,
24,1,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,676000.0,657500,1.0281,0.97,3821210.25,26800.0,0.0408,1368000.0,2.0806,-35.013450000000006,138.55534999999998,"Township Road, Marion, Adelaide, City of Marion, South Australia, 5043, Australia",Marion Medical Centre,medical_centre,SA,"Item 132, Item 136",95%,0.87,Mitchell Park Pharmacy,719429,50000,35,0.2,130000,8.0,,
25,2,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3300000.0,586000.0,657500,0.8913,1.12,3224932.26,-14150.0,-0.0215,1223700.0,1.8611,-34.8746,138.5371,"42, Actil Avenue South, St Clair, Adelaide, City of Charles Sturt, South Australia, 5011, Australia",Woodville Medical Centre,medical_centre,SA,Item 136,95%,0.74,TerryWhite Chemmart,922043,50000,43,0.2,130000,6.4,,
26,3,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3300000.0,586000.0,657500,0.8913,1.12,3224932.26,-14150.0,-0.0215,1223700.0,1.8611,-34.9479,138.5977,"Simpson Parade, Wayville, Adelaide, City of Unley, South Australia, 5034, Australia",Unley Medical Centre,medical_centre,SA,Item 136,95%,0.53,Chemist King Discount Pharmacy,196349,50000,71,0.2,130000,6.4,,
27,4,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,676000.0,657500,1.0281,0.97,3821210.25,26800.0,0.0408,1368000.0,2.0806,-34.9285,138.6017,"Wakefield House, 30, Wakefield Street, Adelaide, Adelaide City Council, South Australia, 5000, Australia",Adelaide Medical Centre,medical_centre,SA,Item 136,95%,0.36,Centre Pharmacy,196349,50000,75,0.2,130000,9.6,,
28,5,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,676000.0,657500,1.0281,0.97,3821210.25,26800.0,0.0408,1368000.0,2.0806,-34.9263,138.6038,"Wilson Parking, Stockley Alley, Adelaide, Adelaide City Council, South Australia, 5000, Australia",SmartClinics Adelaide,medical_centre,SA,Item 136,95%,0.34,TerryWhite Chemmart Rundle Place,196349,50000,77,0.2,130000,9.6,,
29,6,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3300000.0,586000.0,657500,0.8913,1.12,3224932.26,-14150.0,-0.0215,1223700.0,1.8611,-34.8839,138.5974,"Alpha Road, Prospect, Adelaide, City of Prospect, South Australia, 5082, Australia",Prospect Medical Centre,medical_centre,SA,Item 136,95%,0.32,Star Discount Chemist Prospect,196349,50000,62,0.2,130000,7.2,,
30,1,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3300000.0,596000.0,657500,0.9065,1.1,3291185.37,-2650.0,-0.004,1232700.0,1.8748,-42.871,147.345,"Clarence Foreshore Trail, Rosny, Hobart, City of Clarence, Tasmania, 7018, Australia",Ochre Health Medical Centre Clarence,medical_centre,TAS,Item 136,95%,1.65,HPS Pharmacies Hobart,157079,50000,41,0.2,130000,5.6,,
31,7,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,656000.0,657500,0.9977,1.0,3688704.03,3800.0,0.0058,1350000.0,2.0532,-37.7474,144.816,"49, Novara Parade, St Albans South, St Albans, Melbourne, City of Brimbank, Victoria, 3021, Australia",Sunshine Hospital Medical Centre,medical_centre,VIC,Item 136,95%,1.32,Thao Nguyen Pharmacy - St Albans,2703384,50000,31,0.2,130000,12.0,,
32,8,B - Strong,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3300000.0,566000.0,657500,0.8608,1.16,3092426.04,-37150.0,-0.0565,1205700.0,1.8338,-37.7446,145.0073,"266, Plenty Road, Preston, Melbourne, City of Darebin, Victoria, 3072, Australia",Preston Medical Centre,medical_centre,VIC,Item 136,95%,0.68,Direct Chemist Outlet Preston,3890772,50000,67,0.2,130000,7.2,,
38,1,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,661000.0,657500,1.0053,0.99,3721830.58,9550.0,0.0145,1354500.0,2.0601,-32.0698,115.9279,"Lydiard Retreat, Canning Vale, City of Gosnells, Western Australia, 6155, Australia",Canning Vale Medical Centre,medical_centre,WA,Item 136,95%,0.89,Pharmacy 777 Canning Vale,882346,50000,20,0.2,130000,8.0,,
39,2,A - Premium,Medical Centre (Item 136),100.0,90.0,100.0,0.0,0.0,73.0,3600000.0,661000.0,657500,1.0053,0.99,3721830.58,9550.0,0.0145,1354500.0,2.0601,-32.0668,115.8364,"90, South Street, Murdoch, City of Melville, Western Australia, 6150, Australia",Murdoch Medical Centre,medical_centre,WA,Item 136,95%,0.76,Slade Pharmacy Murdoch,1096273,50000,28,0.2,130000,8.0,,
40,14,B - Strong,Medical Centre (Item 136),81.4,90.0,81.4,0.0,100.0,72.8,2013577.5,180073.25,657500,0.2739,3.65,535541.29,-103496.67,-0.1574,586930.78,0.8927,-37.6006,144.9464,"10, Export Road, Craigieburn, Melbourne, City of Hume, Victoria, 3064, Australia",Craigieburn Medical Centre,medical_centre,VIC,Item 136,95%,0.54,Priceline Pharmacy Craigieburn,24407,24407,13,0.2,63458,8.0,YES,VIC Growth Corridor - Northern
